id_produto,nome_produto,codigo_barras,numero_lote,data_validade,quantidade,estoque_minimo,categoria,armazenamento,localizacao,criado_em,atualizado_em
00000000-0000-4000-8000-000000000001,Arroz tipo 1 5kg,7891000000010,AL-ARZ-2604,2027-02-15,120,45,alimenticios longa duracao,seco,Despensa A,2026-04-01T08:00:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000002,Feijao carioca 1kg,7891000000027,AL-FEJ-2604,2027-01-20,110,40,alimenticios longa duracao,seco,Despensa A,2026-04-01T08:05:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000003,Macarrao parafuso 500g,7891000000034,AL-MAC-2604,2027-03-10,150,50,alimenticios longa duracao,seco,Despensa A,2026-04-01T08:10:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000004,Oleo de soja 900ml,7891000000041,AL-OLE-2604,2027-04-05,70,25,alimenticios longa duracao,seco,Despensa A,2026-04-01T08:15:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000005,Acucar cristal 1kg,7891000000058,AL-ACU-2604,2027-05-01,100,30,alimenticios longa duracao,seco,Despensa A,2026-04-01T08:20:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000006,Sal refinado 1kg,7891000000065,AL-SAL-2604,2028-01-15,40,12,alimenticios longa duracao,seco,Despensa A,2026-04-01T08:25:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000007,Farinha de trigo 1kg,7891000000072,AL-FTR-2604,2026-12-10,65,20,alimenticios longa duracao,seco,Despensa A,2026-04-01T08:30:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000008,Fuba mimoso 1kg,7891000000089,AL-FUB-2604,2026-11-18,60,18,alimenticios longa duracao,seco,Despensa A,2026-04-01T08:35:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000009,Leite UHT integral 1L,7891000000096,AL-LEI-2604,2026-09-30,180,70,alimenticios longa duracao,seco,Despensa B,2026-04-01T08:40:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000010,Molho de tomate 340g,7891000000102,AL-MOL-2604,2027-02-28,80,25,alimenticios longa duracao,seco,Despensa B,2026-04-01T08:45:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000011,Carne bovina moida 1kg,7891000000119,CA-BOV-2605,2026-06-20,35,18,alimenticios curta duracao,geladeira,Freezer 1,2026-04-01T08:50:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000012,Frango congelado 1kg,7891000000126,CA-FRA-2605,2026-07-05,45,20,alimenticios curta duracao,geladeira,Freezer 1,2026-04-01T08:55:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000013,Salsicha congelada 1kg,7891000000133,CA-SAL-2605,2026-07-15,40,16,alimenticios curta duracao,geladeira,Freezer 2,2026-04-01T09:00:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000014,Ovos bandeja com 12,7891000000140,CA-OVO-2605,2026-06-12,30,15,alimenticios curta duracao,geladeira,Geladeira 1,2026-04-01T09:05:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000015,Peixe congelado 1kg,7891000000157,CA-PEI-2605,2026-06-30,25,12,alimenticios curta duracao,geladeira,Freezer 2,2026-04-01T09:10:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000016,Detergente neutro 500ml,7891000000164,LI-DET-2604,2028-03-01,90,25,limpeza,seco,Almoxarifado Limpeza,2026-04-01T09:15:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000017,Sabao em po 1kg,7891000000171,LI-SAP-2604,2028-02-01,55,18,limpeza,seco,Almoxarifado Limpeza,2026-04-01T09:20:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000018,Agua sanitaria 1L,7891000000188,LI-AGS-2604,2027-12-01,70,22,limpeza,seco,Almoxarifado Limpeza,2026-04-01T09:25:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000019,Desinfetante 2L,7891000000195,LI-DES-2604,2027-10-15,55,16,limpeza,seco,Almoxarifado Limpeza,2026-04-01T09:30:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000020,Saco de lixo 100L pacote,7891000000201,LI-SLX-2604,2028-05-01,80,20,limpeza,seco,Almoxarifado Limpeza,2026-04-01T09:35:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000021,Papel higienico pacote,7891000000218,HI-PHG-2604,2028-04-01,45,18,higiene pessoal,seco,Armario Higiene,2026-04-01T09:40:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000022,Sabonete 90g,7891000000225,HI-SAB-2604,2028-06-01,40,15,higiene pessoal,seco,Armario Higiene,2026-04-01T09:45:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000023,Creme dental 90g,7891000000232,HI-CDE-2604,2028-01-01,30,12,higiene pessoal,seco,Armario Higiene,2026-04-01T09:50:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000024,Shampoo infantil 350ml,7891000000249,HI-SHA-2604,2028-02-15,20,8,higiene pessoal,seco,Armario Higiene,2026-04-01T09:55:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000025,Absorvente pacote,7891000000256,HI-ABS-2604,2028-03-20,25,10,higiene pessoal,seco,Armario Higiene,2026-04-01T10:00:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000026,Papel sulfite resma,7891000000263,OU-SUL-2604,2029-01-01,30,10,outros,seco,Secretaria,2026-04-01T10:05:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000027,Lapis preto caixa,7891000000270,OU-LAP-2604,2029-01-01,20,8,outros,seco,Secretaria,2026-04-01T10:10:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000028,Caderno brochura,7891000000287,OU-CAD-2604,2029-01-01,25,10,outros,seco,Secretaria,2026-04-01T10:15:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000029,Copo descartavel pacote,7891000000294,OU-COP-2604,2029-01-01,45,16,outros,seco,Refeitorio,2026-04-01T10:20:00-03:00,2026-05-25T17:00:00-03:00
00000000-0000-4000-8000-000000000030,Guardanapo pacote,7891000000300,OU-GUA-2604,2029-01-01,35,14,outros,seco,Refeitorio,2026-04-01T10:25:00-03:00,2026-05-25T17:00:00-03:00
